region_league_id,region,league_name,url
DR_CONGO_LIGUE_1___ROUND_14,DR CONGO,LIGUE 1 - ROUND 14,https://www.flashscore.com/football/
ANTIGUA_&_BARBUDA_ABFA_PREMIER_LEAGUE___ROUND_8,ANTIGUA & BARBUDA,ABFA PREMIER LEAGUE - ROUND 8,https://www.flashscore.com/football/
MYANMAR_NATIONAL_LEAGUE___ROUND_10,MYANMAR,NATIONAL LEAGUE - ROUND 10,https://www.flashscore.com/football/
ETHIOPIA_PREMIER_LEAGUE___ROUND_12,ETHIOPIA,Premier League - Round 12,https://www.flashscore.com/football/
DR_CONGO_LIGUE_1___ROUND_12,DR CONGO,LIGUE 1 - ROUND 12,https://www.flashscore.com/football/
SAUDI_ARABIA_SAUDI_PROFESSIONAL_LEAGUE___ROUND_12,SAUDI ARABIA,SAUDI PROFESSIONAL LEAGUE - ROUND 12,https://www.flashscore.com/football/
OMAN_SULTAN_CUP___1/8_FINALS,OMAN,SULTAN CUP - 1/8-FINALS,https://www.flashscore.com/football/
AFRICA_AFRICA_CUP_OF_NATIONS___ROUND_3,AFRICA,AFRICA CUP OF NATIONS - ROUND 3,https://www.flashscore.com/football/
SIERRA_LEONE_PREMIER_LEAGUE___ROUND_9,SIERRA LEONE,PREMIER LEAGUE - ROUND 9,https://www.flashscore.com/football/
SENEGAL_LIGUE_1___ROUND_9,SENEGAL,LIGUE 1 - ROUND 9,https://www.flashscore.com/football/
ENGLAND_CHAMPIONSHIP___ROUND_24,ENGLAND,CHAMPIONSHIP - ROUND 24,https://www.flashscore.com/football/
ENGLAND_LEAGUE_TWO___ROUND_23,ENGLAND,LEAGUE TWO - ROUND 23,https://www.flashscore.com/football/
ENGLAND_LEAGUE_ONE___ROUND_23,ENGLAND,LEAGUE ONE - ROUND 23,https://www.flashscore.com/football/
WORLD_FRIENDLY_INTERNATIONAL,WORLD,FRIENDLY INTERNATIONAL,https://www.flashscore.com/football/
LEBANON_PREMIER_LEAGUE___ROUND_6,LEBANON,PREMIER LEAGUE - ROUND 6,https://www.flashscore.com/football/
SAUDI_ARABIA_DIVISION_1___ROUND_14,SAUDI ARABIA,DIVISION 1 - ROUND 14,https://www.flashscore.com/football/
IRAN_PERSIAN_GULF_PRO_LEAGUE___ROUND_7,IRAN,PERSIAN GULF PRO LEAGUE - ROUND 7,
IRAQ_STARS_LEAGUE___ROUND_9,IRAQ,STARS LEAGUE - ROUND 9,https://www.flashscore.com/football/
LIBYA_PREMIER_LEAGUE___ROUND_3,LIBYA,PREMIER LEAGUE - ROUND 3,https://www.flashscore.com/football/
KUWAIT_DIVISION_1___ROUND_9,KUWAIT,DIVISION 1 - ROUND 9,https://www.flashscore.com/football/
EGYPT_LEAGUE_CUP___ROUND_4,EGYPT,LEAGUE CUP - ROUND 4,https://www.flashscore.com/football/
NORTHERN_IRELAND_NIFL_CHAMPIONSHIP___ROUND_23,NORTHERN IRELAND,NIFL CHAMPIONSHIP - ROUND 23,https://www.flashscore.com/football/
LIBERIA_LFA_FIRST_DIVISION___ROUND_19,LIBERIA,LFA FIRST DIVISION - ROUND 19,https://www.flashscore.com/football/
ISRAEL_LIGAT_HA'AL___ROUND_16,ISRAEL,LIGAT HA'AL - ROUND 16,https://www.flashscore.com/football/
ENGLAND_PREMIER_LEAGUE___ROUND_19,ENGLAND,PREMIER LEAGUE - ROUND 19,https://www.flashscore.com/football/
NORTHERN_IRELAND_NIFL_PREMIERSHIP___ROUND_23,NORTHERN IRELAND,NIFL PREMIERSHIP - ROUND 23,https://www.flashscore.com/football/
WALES_CYMRU_SOUTH___ROUND_18,WALES,CYMRU SOUTH - ROUND 18,https://www.flashscore.com/football/
SCOTLAND_PREMIERSHIP___ROUND_20,SCOTLAND,PREMIERSHIP - ROUND 20,https://www.flashscore.com/football/
WALES_CYMRU_PREMIER___ROUND_21,WALES,CYMRU PREMIER - ROUND 21,https://www.flashscore.com/football/
WALES_CYMRU_NORTH___ROUND_18,WALES,CYMRU NORTH - ROUND 18,https://www.flashscore.com/football/
DR_CONGO_LIGUE_1___ROUND_1,DR CONGO,LIGUE 1 - ROUND 1,https://www.flashscore.com/football/
KUWAIT_PREMIER_LEAGUE___ROUND_10,KUWAIT,PREMIER LEAGUE - ROUND 10,https://www.flashscore.com/football/
GHANA_PREMIER_LEAGUE___ROUND_14,GHANA,PREMIER LEAGUE - ROUND 14,https://www.flashscore.com/football/
NIGER_SUPER_LIGUE___ROUND_12,NIGER,SUPER LIGUE - ROUND 12,https://www.flashscore.com/football/
AUSTRALIA_A_LEAGUE___ROUND_11,AUSTRALIA,A-LEAGUE - ROUND 11,https://www.flashscore.com/football/
ENGLAND_CHAMPIONSHIP___ROUND_25,ENGLAND,CHAMPIONSHIP - ROUND 25,https://www.flashscore.com/football/
IRAN_PERSIAN_GULF_PRO_LEAGUE___ROUND_10,IRAN,PERSIAN GULF PRO LEAGUE - ROUND 10,https://www.flashscore.com/football/
NORTHERN__NIFL_PREMIERSHIP___ROUND_23,NORTHERN,NIFL PREMIERSHIP - ROUND 23,https://www.flashscore.com/football/
DR_CONGO_LIGUE_1___ROUND_4,DR CONGO,LIGUE 1 - ROUND 4,https://www.flashscore.com/football/
ENGLAND_LEAGUE_ONE___ROUND_24,ENGLAND,LEAGUE ONE - ROUND 24,https://www.flashscore.com/football/
ENGLAND_LEAGUE_TWO___ROUND_24,ENGLAND,LEAGUE TWO - ROUND 24,https://www.flashscore.com/football/
BAHRAIN_PREMIER_LEAGUE___ROUND_10,BAHRAIN,PREMIER LEAGUE - ROUND 10,https://www.flashscore.com/football/
JAMAICA_PREMIER_LEAGUE___ROUND_10,JAMAICA,PREMIER LEAGUE - ROUND 10,https://www.flashscore.com/football/
INDIA_IWL_WOMEN___ROUND_5,INDIA,IWL WOMEN - ROUND 5,https://www.flashscore.com/football/
BANGLADESH_BFL___ROUND_9,BANGLADESH,BFL - ROUND 9,https://www.flashscore.com/football/
UNITED_ARAB_EMIRATES_UAE_LEAGUE___ROUND_11,UNITED ARAB EMIRATES,UAE LEAGUE - ROUND 11,https://www.flashscore.com/football/
ISRAEL_LEUMIT_LEAGUE___ROUND_17,ISRAEL,LEUMIT LEAGUE - ROUND 17,https://www.flashscore.com/football/
MALAYSIA_SUPER_LEAGUE___ROUND_14,MALAYSIA,SUPER LEAGUE - ROUND 14,https://www.flashscore.com/football/
SAUDI_ARABIA_SAUDI_PROFESSIONAL_LEAGUE___ROUND_13,SAUDI ARABIA,SAUDI PROFESSIONAL LEAGUE - ROUND 13,https://www.flashscore.com/football/
BRAZIL_COPINHA___ROUND_1,BRAZIL,COPINHA - ROUND 1,https://www.flashscore.com/football/
GHANA_DIVISION_ONE_LEAGUE___ROUND_14,GHANA,DIVISION ONE LEAGUE - ROUND 14,https://www.flashscore.com/football/
GHANA_PREMIER_LEAGUE___ROUND_17,GHANA,PREMIER LEAGUE - ROUND 17,https://www.flashscore.com/football/
ALGERIA_LIGUE_1___ROUND_6,ALGERIA,LIGUE 1 - ROUND 6,https://www.flashscore.com/football/
OMAN_SULTAN_CUP___QUARTER_FINALS,OMAN,SULTAN CUP - QUARTER-FINALS,https://www.flashscore.com/football/
CYPRUS_CYPRUS_LEAGUE___ROUND_16,CYPRUS,CYPRUS LEAGUE - ROUND 16,https://www.flashscore.com/football/
