team_id,team_name,rl_ids,team_crest,team_url
bqElF1MD,Puntarenas FC,COSTA_RICA_PRIMERA_DIVISION___CLAUSURA___ROUND_6,https://static.flashscore.com/res/image/data/86Cp41Wg-E9M87ZAr.png,https://www.flashscore.com/team/puntarenas-fc/bqElF1MD/
zsGcWCUm,Monterrey W,MEXICO_LIGA_MX_WOMEN___CLAUSURA___ROUND_7,https://static.flashscore.com/res/image/data/8bttFtjl-YFlufF9q.png,https://www.flashscore.com/team/monterrey/CE4Qf9AJ/
CE4Qf9AJ,Club Tijuana W,MEXICO_LIGA_MX_WOMEN___CLAUSURA___ROUND_7,https://static.flashscore.com/res/image/data/nyQiQ3il-vTwfVAOb.png,https://www.flashscore.com/team/club-tijuana/zsGcWCUm/
nuNVeQkr,Club Tijuana,MEXICO_LIGA_MX___CLAUSURA___ROUND_5,https://static.flashscore.com/res/image/data/Ascf81eM-tW0QAqsF.png,https://www.flashscore.com/team/club-tijuana/nuNVeQkr/
pO5ijKm0,Puebla,MEXICO_LIGA_MX___CLAUSURA___ROUND_5,https://static.flashscore.com/res/image/data/EkptxjDa-W6vdbCVa.png,https://www.flashscore.com/team/puebla/pO5ijKm0/
lhGQk0Yg,Zacatecas Mineros,MEXICO_LIGA_DE_EXPANSION_MX___CLAUSURA___ROUND_5,https://static.flashscore.com/res/image/data/WOlVFeil-tIJLyja2.png,https://www.flashscore.com/team/zacatecas-mineros/MwA7wxoa/
MwA7wxoa,Atl. Morelia,MEXICO_LIGA_DE_EXPANSION_MX___CLAUSURA___ROUND_5,https://static.flashscore.com/res/image/data/fiEh3eWg-vupRtYdp.png,https://www.flashscore.com/team/club-atletico-morelia/lhGQk0Yg/
Y5TaMKY6,Mazatlan FC,MEXICO_LIGA_MX___CLAUSURA___ROUND_5,https://static.flashscore.com/res/image/data/UeshHRfM-6Z7oEB85.png,https://www.flashscore.com/team/mazatlan-fc/AXl5ehGE/
AXl5ehGE,Guadalajara Chivas,MEXICO_LIGA_MX___CLAUSURA___ROUND_5,https://static.flashscore.com/res/image/data/ro844CyS-lEs0thDm.png,https://www.flashscore.com/team/guadalajara-chivas/Y5TaMKY6/
zNLhJb1S,Chiba,JAPAN_J1_LEAGUE___ROUND_1,https://static.flashscore.com/res/image/data/8YOWGmdM-z735vIvR.png,https://www.flashscore.com/team/chiba/zNLhJb1S/
C8IHSxPk,Urawa Reds,JAPAN_J1_LEAGUE___ROUND_1,https://static.flashscore.com/res/image/data/2iJi3FWg-nqhLBCKD.png,https://www.flashscore.com/team/urawa-reds/C8IHSxPk/
2J7jacL6,Auckland FC,AUSTRALIA_A_LEAGUE___ROUND_16;Unknown,,https://www.flashscore.com/team/auckland-fc/2J7jacL6/
6JsBlXVI,Sydney FC,AUSTRALIA_A_LEAGUE___ROUND_16;Unknown,,https://www.flashscore.com/team/sydney-fc/6JsBlXVI/
vLvZ4M49,PNG Hekari,AUSTRALIA_&_OCEANIA_OFC_PRO_LEAGUE___ROUND_2,https://static.flashscore.com/res/image/data/xluoudEG-KIgPT6MF.png,https://www.flashscore.com/team/png-hekari/vLvZ4M49/
QqTDoM3K,South Island United,AUSTRALIA_&_OCEANIA_OFC_PRO_LEAGUE___ROUND_2,https://static.flashscore.com/res/image/data/SSt37BYA-Q1gqJDV3.png,https://www.flashscore.com/team/south-island-united/QqTDoM3K/
8zCQQGg2,FC Tokyo,JAPAN_J1_LEAGUE___ROUND_1,https://static.flashscore.com/res/image/data/pMhqxbXg-EXAie25A.png,https://www.flashscore.com/team/fc-tokyo/8zCQQGg2/
4nNKlKo9,Kashima Antlers,JAPAN_J1_LEAGUE___ROUND_1,https://static.flashscore.com/res/image/data/KzRTl7Ea-4SARfF5k.png,https://www.flashscore.com/team/kashima-antlers/4nNKlKo9/
CzEIJVBd,Auckland FC 2,AUSTRALIA_&_OCEANIA_OFC_PRO_LEAGUE___ROUND_2,https://static.flashscore.com/res/image/data/4tKCDMHG-APRUkJcb.png,https://www.flashscore.com/team/auckland-fc/CzEIJVBd/
4CoZjHu0,Solomon Kings,AUSTRALIA_&_OCEANIA_OFC_PRO_LEAGUE___ROUND_2,https://static.flashscore.com/res/image/data/8G37J4Ea-Q59s0xJl.png,https://www.flashscore.com/team/solomon-kings/4CoZjHu0/
G6Tk4M6t,Giravanz Kitakyushu,JAPAN_J2/J3_LEAGUE___ROUND_1,https://static.flashscore.com/res/image/data/EBXCcgXg-8rl92RC9.png,https://www.flashscore.com/team/giravanz-kitakyushu/00Cp2KYP/
00Cp2KYP,Gainare Tottori,JAPAN_J2/J3_LEAGUE___ROUND_1,https://static.flashscore.com/res/image/data/pjEatiyS-OSwkpK1g.png,https://www.flashscore.com/team/gainare-tottori/G6Tk4M6t/
QeOGk0W2,Iwata,JAPAN_J2/J3_LEAGUE___ROUND_1,https://static.flashscore.com/res/image/data/nPunuMCa-j758IH5f.png,https://www.flashscore.com/team/iwata/QeOGk0W2/
4UgFVol8,Nagano,JAPAN_J2/J3_LEAGUE___ROUND_1,https://static.flashscore.com/res/image/data/46X87uvS-fehuGhVq.png,https://www.flashscore.com/team/nagano-parceiro/4UgFVol8/
KSReC3sk,Kofu,JAPAN_J2/J3_LEAGUE___ROUND_1,https://static.flashscore.com/res/image/data/8n6oZCdM-zXW2uNoG.png,https://www.flashscore.com/team/kofu/4IyNxjsg/
4IyNxjsg,Fukushima Utd,JAPAN_J2/J3_LEAGUE___ROUND_1,https://static.flashscore.com/res/image/data/xKBGUbzB-EoSTw7Jk.png,https://www.flashscore.com/team/fukushima-united/KSReC3sk/
6s0AMsBf,Nara Club,JAPAN_J2/J3_LEAGUE___ROUND_1,https://static.flashscore.com/res/image/data/OYchHyYg-tUBt3qW2.png,https://www.flashscore.com/team/nara-club/6s0AMsBf/
IcwgwCCt,Tokushima,JAPAN_J2/J3_LEAGUE___ROUND_1,https://static.flashscore.com/res/image/data/CW8x8EeM-j9KqC5rP.png,https://www.flashscore.com/team/tokushima/IcwgwCCt/
4MvNs2n5,Tochigi City,JAPAN_J2/J3_LEAGUE___ROUND_1,https://static.flashscore.com/res/image/data/zclXh5Fa-UPlim0Jl.png,https://www.flashscore.com/team/tochigi-city/4MvNs2n5/
lSW1nlRB,Vegalta Sendai,JAPAN_J2/J3_LEAGUE___ROUND_1,https://static.flashscore.com/res/image/data/UmN6bGyS-rkzDkpKt.png,https://www.flashscore.com/team/vegalta-sendai/lSW1nlRB/
0lMXpXdr,Omiya Ardija,JAPAN_J2/J3_LEAGUE___ROUND_1,https://static.flashscore.com/res/image/data/b1f53vEa-U58J6vtM.png,https://www.flashscore.com/team/omiya-ardija/OErJ0IVR/
OErJ0IVR,Yamaga,JAPAN_J2/J3_LEAGUE___ROUND_1,https://static.flashscore.com/res/image/data/xj1jamZA-l42wt9E1.png,https://www.flashscore.com/team/matsumoto-yamaga/0lMXpXdr/
fwDHgzFc,Shonan Bellmare,JAPAN_J2/J3_LEAGUE___ROUND_1,https://static.flashscore.com/res/image/data/8WNf7vZg-ppTjXyRn.png,https://www.flashscore.com/team/shonan-bellmare/SIV5o8tI/
SIV5o8tI,Blaublitz,JAPAN_J2/J3_LEAGUE___ROUND_1,https://static.flashscore.com/res/image/data/0AdeOxEa-GIj6ZXII.png,https://www.flashscore.com/team/blaublitz/fwDHgzFc/
2uKzonBU,Yokohama FC,JAPAN_J2/J3_LEAGUE___ROUND_1,https://static.flashscore.com/res/image/data/46ZG5yCr-0MUJCQpC.png,https://www.flashscore.com/team/yokohama-fc/OlLWoSeO/
OlLWoSeO,Montedio Yamagata,JAPAN_J2/J3_LEAGUE___ROUND_1,https://static.flashscore.com/res/image/data/MPYWA9HG-Uc4CHyL0.png,https://www.flashscore.com/team/montedio-yamagata/2uKzonBU/
SSr7kDGC,Brisbane Roar,AUSTRALIA_A_LEAGUE___ROUND_16;Unknown,,https://www.flashscore.com/team/brisbane-roar/SSr7kDGC/
Wzp1wFWg,Wellington Phoenix,AUSTRALIA_A_LEAGUE___ROUND_16;Unknown,,https://www.flashscore.com/team/wellington-phoenix/Wzp1wFWg/
6XqvdP8p,NWS Spirit,AUSTRALIA_NPL_NSW___ROUND_1,https://static.flashscore.com/res/image/data/QTifIQEa-neUHbHlC.png,https://www.flashscore.com/team/nws-spirit/6XqvdP8p/
SfKCW1H8,Sutherland Sharks,AUSTRALIA_NPL_NSW___ROUND_1,https://static.flashscore.com/res/image/data/Q5ClEUAr-nLVPwgJh.png,https://www.flashscore.com/team/sutherland-sharks/SfKCW1H8/
rV65FMHL,Bankstown City Lions,AUSTRALIA_NSW_LEAGUE_ONE___ROUND_1,https://static.flashscore.com/res/image/data/nJWRTfyB-QXLak3Y1.png,https://www.flashscore.com/team/bankstown-city-lions-fc/rV65FMHL/
6wbu9yrJ,Rydalmere Lions,AUSTRALIA_NSW_LEAGUE_ONE___ROUND_1,https://static.flashscore.com/res/image/data/WArzhUEG-2FSw5ZvK.png,https://www.flashscore.com/team/rydalmere-lions/6wbu9yrJ/
rJJl6Vtt,Cerezo Osaka,JAPAN_J1_LEAGUE___ROUND_1,https://static.flashscore.com/res/image/data/UPIOwxZA-8l3GGez7.png,https://www.flashscore.com/team/cerezo-osaka/rJJl6Vtt/
zLQAGOBK,Gamba Osaka,JAPAN_J1_LEAGUE___ROUND_1,https://static.flashscore.com/res/image/data/8Eq347h5-WCk3MDxq.png,https://www.flashscore.com/team/gamba-osaka/zLQAGOBK/
4jKYneGa,Taichung Blue W,TAIWAN_MULAN_FOOTBALL_LEAGUE_WOMEN___ROUND_14,https://static.flashscore.com/res/image/data/IZYva9FG-z1CDRwXC.png,https://www.flashscore.com/team/taichung-blue/4hGuyBYH/
4hGuyBYH,AC Taipei W,TAIWAN_MULAN_FOOTBALL_LEAGUE_WOMEN___ROUND_14,https://static.flashscore.com/res/image/data/dMXKj9xS-EsAeyoqD.png,https://www.flashscore.com/team/ac-taipei/4jKYneGa/
MHPVIn6U,Kaya,PHILIPPINES_PFL___ROUND_13,https://static.flashscore.com/res/image/data/4GYXoIHG-WKgeQBsR.png,https://www.flashscore.com/team/kaya-fc/EXYIQcj1/
EXYIQcj1,Don Bosco Garelli,PHILIPPINES_PFL___ROUND_13,https://static.flashscore.com/res/image/data/jcE3P0EG-U3HXHJ8f.png,https://www.flashscore.com/team/don-bosco-garelli/MHPVIn6U/
zqCuzbyG,Valkyrie W,TAIWAN_MULAN_FOOTBALL_LEAGUE_WOMEN___ROUND_14,https://static.flashscore.com/res/image/data/8499TMeM-hOgd1NfD.png,https://www.flashscore.com/team/valkyrie/8rHkqDFO/
8rHkqDFO,Kaohsiung W,TAIWAN_MULAN_FOOTBALL_LEAGUE_WOMEN___ROUND_14,https://static.flashscore.com/res/image/data/Ot3MsMHG-dKdEORHS.png,https://www.flashscore.com/team/kaohsiung-attackers/zqCuzbyG/
hrmFrjOc,St George Saints,AUSTRALIA_NPL_NSW___ROUND_1,https://static.flashscore.com/res/image/data/zZUbZaFa-hYrQg51l.png,https://www.flashscore.com/team/st-george-saints/hrmFrjOc/
4ORPPwPl,Wollongong Wolves,AUSTRALIA_NPL_NSW___ROUND_1,https://static.flashscore.com/res/image/data/jRj8tVh5-nuKJ7qCF.png,https://www.flashscore.com/team/wollongong/4ORPPwPl/
84SKUunL,Marconi Stallions,AUSTRALIA_NPL_NSW___ROUND_1,https://static.flashscore.com/res/image/data/xpdGfryS-OnQ7q5Bq.png,https://www.flashscore.com/team/marconi-stallions/Iy9d7bP1/
Iy9d7bP1,APIA Leichhardt,AUSTRALIA_NPL_NSW___ROUND_1,https://static.flashscore.com/res/image/data/2oV47CcM-t4Myr8RK.png,https://www.flashscore.com/team/apia-leichhardt/84SKUunL/
KlSzvPd2,Bulls Academy,AUSTRALIA_NSW_LEAGUE_ONE___ROUND_1,https://static.flashscore.com/res/image/data/p8FW5SAr-ro6NP2eG.png,https://www.flashscore.com/team/bulls-academy/KlSzvPd2/
